"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"349","INSTITUTIONS/CAMPS",636,2003,152706,1401,154107,80187,192.2,155886,NA
"350","ASP",119,2004,7186,0,7186,2920,246.1,7128,NA
"351","CCC",128,2004,5965,0,5965,3682,162,5642,NA
"352","CCI",137,2004,5454,0,5454,2781,196.1,5597,NA
"353","CIM",146,2004,6515,29,6544,3078,212.6,6665,NA
"354","CMF",164,2004,3263,0,3263,2315,141,3401,NA
"355","CMC",173,2004,6488,0,6488,3884,167,6604,NA
"356","CRC",182,2004,3048,946,3994,1814,220.2,3952,NA
"357","CAL",191,2004,4106,0,4106,2508,163.7,4318,NA
"358","CEN",210,2004,4895,0,4895,2208,221.7,5091,NA
"359","COR",219,2004,5123,0,5123,3016,169.9,5184,NA
"360","LAC",228,2004,4579,5,4584,2200,208.4,4540,NA
"361","SAC",237,2004,3347,0,3347,1728,193.7,3244,NA
"362","SQ",255,2004,5833,11,5844,3273,178.6,5731,NA
"363","SOL",264,2004,6089,0,6089,2610,233.3,5996,NA
"364","CVSP",282,2004,4160,0,4160,1738,239.4,4292,NA
"365","CTF",300,2004,6927,0,6927,3281,211.1,7001,NA
"366","DVI",309,2004,3438,16,3454,1787,193.3,3551,NA
"367","FOL",318,2004,3987,0,3987,2475,161.1,4249,NA
"368","HDP",327,2004,4827,8,4835,2344,206.3,4788,NA
"369","IRON",345,2004,4714,0,4714,2200,214.3,4773,NA
"370","MCSP",355,2004,3770,0,3770,1700,221.8,3837,NA
"371","NKSP",364,2004,5268,4,5272,2692,195.8,5387,NA
"372","PDC",373,2004,1278,0,1278,0,0,1292,NA
"373","PBSP",391,2004,3498,1,3499,2280,153.5,3582,NA
"374","PVSP",400,2004,4598,0,4598,2208,208.2,4848,NA
"375","RIO",409,2004,356,0,356,0,0,250,NA
"376","RJD",418,2004,4387,0,4387,2200,199.4,4443,NA
"377","SVSP",436,2004,4538,0,4538,2224,204,4600,NA
"378","SRTA",445,2004,581,0,581,0,0,750,NA
"379","SCC",454,2004,6059,0,6059,3606,168,5977,NA
"380","WSP",463,2004,6033,33,6066,2984,203.3,5958,NA
"381","MALE",490,2004,147279,1057,148336,75060,197.6,149674,NA
"382","CIW",536,2004,1941,12,1953,1026,190.4,1950,NA
"383","CRC",545,2004,454,240,694,500,138.8,680,NA
"384","CCWF",554,2004,3598,4,3602,2004,179.7,3490,NA
"385","RIO",563,2004,4,0,4,0,0,20,NA
"386","SCC",572,2004,329,0,329,320,102.8,320,NA
"387","VSP",581,2004,3646,17,3663,1980,185,3814,NA
"388","FEMALE",608,2004,9972,273,10245,5830,175.7,10274,NA
"389","INSTITUTIONS/CAMPS",645,2004,157251,1330,158581,80890,196,159948,NA
"390","ASP",119,2005,6722,0,6722,2920,230.2,7028,NA
"391","CCC",128,2005,6103,0,6103,3682,165.8,5750,NA
"392","CCI",137,2005,5637,0,5637,2699,208.9,5824,NA
"393","CIM",146,2005,6643,24,6667,3078,216.6,6615,NA
"394","CMF",164,2005,3217,0,3217,2315,139,3351,NA
"395","CMC",173,2005,6506,1,6507,3884,167.5,6604,NA
"396","CRC",182,2005,3054,878,3932,1814,216.8,3952,NA
"397","CAL",191,2005,4133,0,4133,2508,164.8,4268,NA
"398","CEN",210,2005,4801,0,4801,2208,217.4,5103,NA
"399","COR",219,2005,4928,1,4929,3016,163.4,5134,NA
"400","LAC",228,2005,4669,0,4669,2200,212.2,4684,NA
"401","SAC",237,2005,3191,0,3191,1728,184.7,3244,NA
"402","SQ",255,2005,5440,3,5443,3273,166.3,5681,NA
"403","SOL",264,2005,6075,0,6075,2610,232.8,5660,NA
"404","CVSP",282,2005,3644,0,3644,1738,209.7,3860,NA
"405","CTF",300,2005,7095,0,7095,3281,216.2,7001,NA
"406","DVI",309,2005,3872,23,3895,1787,218,3551,NA
"407","FOL",318,2005,3967,0,3967,2475,160.3,4249,NA
"408","HDP",327,2005,4583,1,4584,2344,195.6,4752,NA
"409","IRON",345,2005,4537,0,4537,2200,206.2,4653,NA
"410","KVSP",355,2005,617,0,617,2448,25.2,4366,NA
"411","MCSP",364,2005,3804,0,3804,1700,223.8,3837,NA
"412","NKSP",373,2005,5297,7,5304,2692,197,5387,NA
"413","PDC",391,2005,1393,0,1393,0,0,1292,NA
"414","PBSP",400,2005,3428,0,3428,2280,150.4,3582,NA
"415","PVSP",409,2005,4929,0,4929,2208,223.2,5028,NA
"416","RIO",418,2005,290,0,290,0,0,250,NA
"417","RJD",436,2005,4698,0,4698,2200,213.5,4443,NA
"418","SVSP",445,2005,4270,0,4270,2224,192,4510,NA
"419","SRTA",454,2005,468,0,468,0,0,750,NA
"420","SCC",463,2005,6200,0,6200,3606,171.9,6107,NA
"421","WSP",481,2005,6039,21,6060,2984,203.1,6066,NA
"422","MALE",509,2005,147722,963,148685,77426,192,153609,NA
"423","CIW",554,2005,1981,12,1993,1026,194.2,1950,NA
"424","CRC",563,2005,473,275,748,500,149.6,680,NA
"425","CCWF",572,2005,3793,3,3796,2004,189.4,3490,NA
"426","RIO",581,2005,17,0,17,0,0,20,NA
"427","SCC",590,2005,287,0,287,320,89.7,320,NA
"428","VSP",599,2005,3644,19,3663,1980,185,3686,NA
"429","FEMALE",626,2005,10195,309,10504,5830,180.2,10146,NA
"430","INSTITUTIONS/CAMPS",663,2005,157917,1272,159189,83256,191.2,163755,NA
"431","ASP",119,2006,7523,0,7523,3114,241.6,7028,NA
"432","CCC",128,2006,6117,0,6117,3682,166.1,5750,NA
"433","CCI",137,2006,5413,0,5413,3020,179.2,5558,NA
"434","CIM",146,2006,6539,26,6565,3078,213.3,6615,NA
"435","CMF",164,2006,3035,0,3035,2315,131.1,3351,NA
"436","CMC",173,2006,6555,0,6555,3884,168.8,6604,NA
"437","CRC",182,2006,3146,845,3991,1814,220,3952,NA
"438","CAL",191,2006,4271,0,4271,2508,170.3,4268,NA
"439","CEN",210,2006,4943,0,4943,2316,213.4,5103,NA
"440","COR",219,2006,5314,0,5314,3016,176.2,5134,NA
"441","LAC",228,2006,4512,0,4512,2600,173.5,5084,NA
"442","SAC",237,2006,3117,0,3117,1898,164.2,3244,NA
"443","SQ",255,2006,5038,10,5048,3661,137.9,5681,NA
"444","SOL",264,2006,6063,0,6063,2658,228.1,5660,NA
"445","CVSP",282,2006,4224,0,4224,1738,243,3860,NA
"446","CTF",300,2006,7117,0,7117,3319,214.4,7001,NA
"447","DVI",309,2006,3839,15,3854,1787,215.7,3551,NA
"448","FOL",318,2006,4075,0,4075,2475,164.6,4249,NA
"449","HDP",327,2006,4729,2,4731,2534,186.7,4752,NA
"450","IRON",345,2006,4597,0,4597,2200,209,4653,NA
"451","KVSP",355,2006,4737,1,4738,2718,174.3,4636,NA
"452","MCSP",364,2006,3938,0,3938,1700,231.6,3837,NA
"453","NKSP",373,2006,5375,9,5384,2918,184.5,5387,NA
"454","PDC",391,2006,1441,0,1441,0,0,1292,NA
"455","PBSP",400,2006,3455,0,3455,2376,145.4,3582,NA
"456","PVSP",409,2006,5041,0,5041,2298,219.4,5028,NA
"457","RIO",418,2006,267,0,267,0,0,250,NA
"458","RJD",436,2006,4566,0,4566,2308,197.8,4443,NA
"459","SVSP",445,2006,4579,0,4579,2914,157.1,4510,NA
"460","SRTA",454,2006,581,0,581,0,0,750,NA
"461","SBRN",463,2006,143,0,143,60,238.3,200,NA
"462","SCC",481,2006,6079,0,6079,3606,168.6,6107,NA
"463","WSP",490,2006,5988,9,5997,3314,181,6066,NA
"464","MALE",518,2006,153788,918,154706,81420,190,154213,NA
"465","CIW",563,2006,2621,11,2632,1346,195.5,2270,NA
"466","CRC",572,2006,385,306,691,500,138.2,680,NA
"467","CCWF",581,2006,3808,4,3812,2029,187.9,3490,NA
"468","RIO",590,2006,22,0,22,0,0,20,NA
"469","SBRN",599,2006,3,0,3,60,5,200,NA
"470","VSP",608,2006,3809,29,3838,2015,190.5,3686,NA
"471","FEMALE",636,2006,10648,350,10998,5950,184.8,10346,NA
"472","INSTITUTIONS/CAMPS",672,2006,164436,1268,165704,87370,189.7,164559,NA
"473","ASP",119,2007,7611,0,7611,2920,260.7,7710,NA
"474","CCC",128,2007,6120,0,6120,3883,157.6,6174,NA
"475","CCI",137,2007,5827,0,5827,2757,211.4,5896,NA
"476","CIM",146,2007,6218,23,6241,3207,194.6,6464,NA
"477","CMF",164,2007,3087,0,3087,2307,133.8,3316,NA
"478","CMC",173,2007,6559,0,6559,3840,170.8,6574,NA
"479","CRC",182,2007,3281,690,3971,1814,218.9,4000,NA
"480","CAL",191,2007,4164,0,4164,2308,180.4,4318,NA
"481","CEN",210,2007,5079,0,5079,2308,220.1,4956,NA
"482","COR",219,2007,5728,2,5730,3116,183.9,5450,NA
"483","LAC",228,2007,4976,0,4976,2300,216.3,4658,NA
"484","SAC",237,2007,3274,0,3274,1724,189.9,3253,NA
"485","SQ",255,2007,5187,7,5194,3109,167.1,5220,NA
"486","SOL",264,2007,6141,0,6141,2610,235.3,6083,NA
"487","CVSP",282,2007,3688,0,3688,1738,212.2,4292,NA
"488","CTF",300,2007,6962,0,6962,3301,210.9,7127,NA
"489","DVI",309,2007,3837,4,3841,1787,214.9,3911,NA
"490","FOL",318,2007,4151,0,4151,2236,185.6,4078,NA
"491","HDP",327,2007,4696,8,4704,2324,202.4,4706,NA
"492","IRON",345,2007,4754,0,4754,2200,216.1,4809,NA
"493","KVSP",355,2007,5003,0,5003,2448,204.4,4946,NA
"494","MCSP",364,2007,3773,0,3773,1700,221.9,4009,NA
"495","NKSP",373,2007,5443,7,5450,2692,202.5,5401,NA
"496","PDC",391,2007,24,0,24,0,0,0,NA
"497","PBSP",400,2007,3442,0,3442,2252,152.8,3316,NA
"498","PVSP",409,2007,5350,0,5350,2308,231.8,5112,NA
"499","RIO",418,2007,377,0,377,0,0,250,NA
"500","RJD",436,2007,4657,1,4658,3302,141.1,5858,NA
"501","SVSP",445,2007,4461,1,4462,2298,194.2,4606,NA
"502","SRTA",454,2007,704,0,704,0,0,750,NA
"503","SBRN",463,2007,33,0,33,0,0,60,NA
"504","SCC",481,2007,5912,0,5912,3736,158.2,6215,NA
"505","WSP",490,2007,6071,7,6078,2884,210.7,5888,NA
"506","MALE",518,2007,154058,753,154811,78833,196.4,156999,NA
"507","CIW",563,2007,2213,268,2481,1356,183,2717,NA
"508","CCWF",572,2007,4287,4,4291,2006,213.9,3945,NA
"509","RIO",581,2007,22,0,22,0,0,0,NA
"510","SRTA",590,2007,5,0,5,0,0,20,NA
"511","VSP",599,2007,4312,10,4322,1980,218.3,3902,NA
"512","FEMALE",626,2007,10839,282,11121,5342,208.2,10584,NA
"513","INSTITUTIONS/CAMPS",663,2007,164897,1035,165932,84175,197.1,167583,NA
"514","ASP",122,2008,6882,0,6882,2920,235.7,7222,NA
"515","CCC",131,2008,5566,0,5566,3883,143.3,6024,NA
"516","CCI",139,2008,5751,0,5751,2783,206.6,5620,NA
"517","CIM",148,2008,6062,26,6088,2976,204.6,6130,NA
"518","CMF",165,2008,3067,0,3067,2297,133.5,3078,NA
"519","CMC",173,2008,6482,0,6482,3838,168.9,6518,NA
"520","CRC",182,2008,3784,565,4349,2491,174.6,4604,NA
"521","CAL",190,2008,4279,0,4279,2308,185.4,4218,NA
"522","CEN",207,2008,4819,0,4819,2308,208.8,5136,NA
"523","COR",216,2008,5744,0,5744,3116,184.3,5402,NA
"524","LAC",224,2008,4987,0,4987,2300,216.8,4946,NA
"525","SAC",233,2008,3032,0,3032,1828,165.9,3234,NA
"526","SQ",250,2008,5135,5,5140,3082,166.8,5274,NA
"527","SOL",258,2008,5671,0,5671,2610,217.3,5570,NA
"528","CVSP",275,2008,3080,0,3080,1738,177.2,3222,NA
"529","CTF",292,2008,6470,0,6470,3312,195.4,6499,NA
"530","DVI",301,2008,3816,9,3825,1681,227.5,3787,NA
"531","FOL",309,2008,4037,0,4037,2469,163.5,4078,NA
"532","HDP",318,2008,4472,13,4485,2324,193,4536,NA
"533","IRON",335,2008,4497,0,4497,2200,204.4,4565,NA
"534","KVSP",344,2008,4678,0,4678,2448,191.1,4846,NA
"535","MCSP",352,2008,3692,0,3692,1700,217.2,3714,NA
"536","NKSP",361,2008,5289,5,5294,2694,196.5,5454,NA
"537","PBSP",378,2008,3372,0,3372,2380,141.7,3598,NA
"538","PVSP",386,2008,5186,0,5186,2308,224.7,5192,NA
"539","RIO",395,2008,258,0,258,0,0,250,NA
"540","RJD",403,2008,4609,0,4609,2200,209.5,4588,NA
"541","SVSP",420,2008,4095,0,4095,2388,171.5,4100,NA
"542","SRTA",429,2008,881,0,881,0,0,750,NA
"543","SBRN",437,2008,1,0,1,0,0,30,NA
"544","SCC",446,2008,6070,0,6070,3736,162.5,6046,NA
"545","WSP",463,2008,6000,9,6009,2984,201.4,5878,NA
"546","MALE",488,2008,148884,636,149520,78726,189.9,151582,NA
"547","CIW",531,2008,2476,205,2681,1356,197.7,2549,NA
"548","CCWF",539,2008,4093,3,4096,2004,204.4,4086,NA
"549","RIO",548,2008,16,0,16,0,0,0,NA
"550","SRTA",557,2008,2,0,2,0,0,20,NA
"551","VSP",565,2008,4027,10,4037,1980,203.9,4158,NA
"552","FEMALE",591,2008,10614,218,10832,5340,202.8,10813,NA
"553","INSTITUTIONS/CAMPS",633,2008,159498,854,160352,84066,190.7,162395,NA
"554","ASP",122,2009,6320,0,6320,2920,216.4,6506,NA
"555","CCC",131,2009,5465,0,5465,3883,140.7,5724,NA
"556","CCI",139,2009,5600,0,5600,2783,201.2,5732,NA
"557","CIM",148,2009,5889,24,5913,2976,198.7,5811,NA
"558","CMF",165,2009,2695,0,2695,2297,117.3,3000,NA
"559","CMC",173,2009,6298,0,6298,3838,164.1,6458,NA
"560","CRC",182,2009,3697,545,4242,2491,170.3,4408,NA
"561","CAL",190,2009,4276,0,4276,2308,185.3,4218,NA
"562","CEN",207,2009,4523,0,4523,2308,196,4628,NA
"563","COR",216,2009,5402,0,5402,3116,173.4,5352,NA
"564","LAC",224,2009,4663,0,4663,2400,194.3,4790,NA
"565","SAC",233,2009,2873,0,2873,1828,157.2,2979,NA
"566","SQ",250,2009,5174,13,5187,3082,168.3,5274,NA
"567","SOL",258,2009,4772,0,4772,2610,182.8,4850,NA
"568","CVSP",275,2009,3422,0,3422,1738,196.9,3593,NA
"569","CTF",292,2009,5728,0,5728,3312,172.9,6127,NA
"570","DVI",301,2009,3940,6,3946,1681,234.7,3811,NA
"571","FOL",309,2009,4075,0,4075,2469,165,4078,NA
"572","HDP",318,2009,4423,11,4434,2324,190.8,4486,NA
"573","IRON",335,2009,4186,0,4186,2200,190.3,4085,NA
"574","KVSP",344,2009,4680,0,4680,2448,191.2,4880,NA
"575","MCSP",352,2009,3739,0,3739,1700,219.9,3812,NA
"576","NKSP",361,2009,5410,6,5416,2694,201,5354,NA
"577","PBSP",378,2009,3225,0,3225,2380,135.5,3407,NA
"578","PVSP",386,2009,4912,0,4912,2308,212.8,4922,NA
"579","RIO",395,2009,453,0,453,0,0,400,NA
"580","RJD",403,2009,4759,0,4759,2200,216.3,4814,NA
"581","SVSP",420,2009,4033,0,4033,2388,168.9,3971,NA
"582","SRTA",429,2009,882,0,882,0,0,750,NA
"583","SCC",437,2009,5419,0,5419,3736,145,5621,NA
"584","WSP",446,2009,6043,10,6053,2984,202.8,5848,NA
"585","MALE",480,2009,143837,618,144455,78826,183.3,146698,NA
"586","CIW",522,2009,2422,205,2627,1386,189.5,2715,NA
"587","CCWF",531,2009,3851,5,3856,2004,192.4,3966,NA
"588","FRCC",539,2009,76,0,76,75,101.3,75,NA
"589","RIO",548,2009,16,0,16,0,0,0,NA
"590","VSP",557,2009,3854,13,3867,1980,195.3,3958,NA
"591","FEMALE",582,2009,10219,223,10442,5445,191.8,10714,NA
"592","INSTITUTIONS/CAMPS",625,2009,154056,841,154897,84271,183.8,157412,NA
"593","ASP",122,2010,6626,0,6626,2920,226.9,6726,NA
"594","CCC",131,2010,5561,0,5561,3883,143.2,5585,NA
"595","CCI",139,2010,5962,2,5964,2783,214.3,5732,NA
"596","CIM",148,2010,4469,14,4483,2976,150.6,5887,NA
"597","CMF",165,2010,2604,0,2604,2297,113.4,2593,NA
"598","CMC",173,2010,6451,0,6451,3838,168.1,6458,NA
"599","CRC",182,2010,3909,488,4397,2491,176.5,4408,NA
"600","CAL",190,2010,4114,0,4114,2308,178.2,4218,NA
"601","CEN",207,2010,4338,0,4338,2308,188,4508,NA
"602","COR",216,2010,5191,0,5191,3116,166.6,5281,NA
"603","LAC",224,2010,4594,0,4594,2400,191.4,4790,NA
"604","SAC",233,2010,2919,0,2919,1828,159.7,2979,NA
"605","SQ",250,2010,5098,5,5103,2967,172,5014,NA
"606","SOL",258,2010,5121,0,5121,2610,196.2,5137,NA
"607","CVSP",275,2010,3512,0,3512,1738,202.1,3687,NA
"608","CTF",292,2010,6472,0,6472,3312,195.4,6127,NA
"609","DVI",301,2010,3853,22,3875,1681,230.5,3811,NA
"610","FOL",309,2010,3572,0,3572,2469,144.7,3675,NA
"611","HDP",318,2010,4454,7,4461,2324,192,4486,NA
"612","IRON",335,2010,3923,0,3923,2200,178.3,4085,NA
"613","KVSP",344,2010,4571,0,4571,2448,186.7,4884,NA
"614","MCSP",352,2010,3772,0,3772,1700,221.9,3732,NA
"615","NKSP",361,2010,5241,10,5251,2694,194.9,5354,NA
"616","PBSP",378,2010,3278,0,3278,2380,137.7,3449,NA
"617","PVSP",386,2010,4626,0,4626,2308,200.4,4722,NA
"618","RIO",395,2010,424,0,424,0,0,400,NA
"619","RJD",403,2010,4648,1,4649,2200,211.3,4814,NA
"620","SVSP",420,2010,3657,0,3657,2388,153.1,3793,NA
"621","SRTA",429,2010,787,0,787,0,0,750,NA
"622","SCC",437,2010,5335,0,5335,3736,142.8,5391,NA
"623","WSP",446,2010,5789,10,5799,2984,194.3,5800,NA
"624","MALE",480,2010,141469,563,142032,78711,180.4,144954,NA
"625","CIW",522,2010,2222,182,2404,1386,173.4,2521,NA
"626","CCWF",531,2010,3640,4,3644,2004,181.8,3859,NA
"627","FRCC",539,2010,79,0,79,75,105.3,75,NA
"628","RIO",548,2010,4,0,4,0,0,0,NA
"629","VSP",557,2010,3376,11,3387,1980,171.1,3486,NA
"630","FEMALE",582,2010,9321,197,9518,5445,174.8,9941,NA
"631","INSTITUTIONS/CAMPS",625,2010,150790,760,151550,84156,180.1,154895,NA
"632","ASP",122,2011,5725,0,5725,2920,196.1,5760,NA
"633","CCC",131,2011,5452,0,5452,3883,140.4,5533,NA
"634","CCI",139,2011,5718,0,5718,2783,205.5,5812,NA
"635","CIM",148,2011,6060,2,6062,2976,203.7,7407,NA
"636","CMF",165,2011,2865,0,2865,2297,124.7,2780,NA
"637","CMC",173,2011,6255,0,6255,3838,163,6361,NA
"638","CRC",182,2011,3753,343,4096,2491,164.4,4176,NA
"639","CAL",190,2011,4244,0,4244,2308,183.9,4045,NA
"640","CEN",207,2011,4146,0,4146,2308,179.6,4143,NA
"641","COR",216,2011,4851,0,4851,3116,155.7,4918,NA
"642","LAC",224,2011,4201,0,4201,2300,182.7,4380,NA
"643","SAC",233,2011,2829,0,2829,1828,154.8,2843,NA
"644","SQ",250,2011,4780,8,4788,3082,155.4,4792,NA
"645","SOL",258,2011,5029,0,5029,2610,192.7,4990,NA
"646","CVSP",275,2011,3109,0,3109,1738,178.9,3218,NA
"647","CTF",292,2011,6515,0,6515,3312,196.7,6127,NA
"648","DVI",301,2011,3831,11,3842,1681,228.6,3811,NA
"649","FOL",309,2011,3707,1,3708,2469,150.2,3601,NA
"650","HDP",318,2011,4226,5,4231,2324,182.1,4211,NA
"651","IRON",335,2011,4153,0,4153,2200,188.8,4010,NA
"652","KVSP",344,2011,4708,0,4708,2448,192.3,4729,NA
"653","MCSP",352,2011,3572,0,3572,1700,210.1,3516,NA
"654","NKSP",361,2011,5128,6,5134,2694,190.6,5110,NA
"655","PBSP",378,2011,3212,0,3212,2380,135,3208,NA
"656","PVSP",386,2011,4572,0,4572,2308,198.1,4647,NA
"657","RJD",395,2011,4347,0,4347,2200,197.6,4436,NA
"658","SVSP",403,2011,3945,0,3945,2452,160.9,3859,NA
"659","SCC",420,2011,5182,0,5182,3736,138.7,5548,NA
"660","WSP",429,2011,5683,6,5689,2984,190.7,5584,NA
"661","MALE",446,2011,138117,398,138515,78790,175.8,139693,NA
"662","CIW",488,2011,1920,115,2035,1386,146.8,2147,NA
"663","CCWF",497,2011,3823,3,3826,2004,190.9,3859,NA
"664","VSP",505,2011,3316,6,3322,1936,171.6,3244,NA
"665","FEMALE",522,2011,9059,124,9183,5326,172.4,9250,NA
"666","____________________________________________________________________________________________________",574,2011,147176,522,147698,84116,175.6,148943,NA
"667","ASP",122,2012,4641,0,4641,2920,158.9,4606,NA
"668","CCC",131,2012,4485,0,4485,3883,115.5,4392,NA
"669","CCI",139,2012,4679,0,4679,2783,168.1,5083,NA
"670","CIM",148,2012,4915,6,4921,2976,165.4,6005,NA
"671","CMF",165,2012,2347,0,2347,2297,102.2,2377,NA
"672","CMC",173,2012,5340,0,5340,3838,139.1,5320,NA
"673","CRC",182,2012,3451,188,3639,2491,146.1,3769,NA
"674","CAL",190,2012,3749,0,3749,2308,162.4,3710,NA
"675","CEN",207,2012,3746,0,3746,2308,162.3,3758,NA
"676","COR",216,2012,4731,0,4731,3116,151.8,4619,NA
"677","LAC",224,2012,3950,0,3950,2300,171.7,3990,NA
"678","SAC",233,2012,2651,0,2651,1828,145,2743,NA
"679","SQ",250,2012,3699,0,3699,3082,120,3882,NA
"680","SOL",258,2012,4219,0,4219,2610,161.6,4240,NA
"681","CVSP",275,2012,2657,0,2657,1738,152.9,2615,NA
"682","CTF",292,2012,5644,0,5644,3312,170.4,5202,NA
"683","DVI",301,2012,2505,5,2510,1681,149.3,2478,NA
"684","FOL",309,2012,2839,0,2839,2469,115,2852,NA
"685","HDP",318,2012,3730,2,3732,2324,160.6,3695,NA
"686","IRON",335,2012,3420,0,3420,2200,155.5,3310,NA
"687","KVSP",344,2012,4151,0,4151,2448,169.6,4344,NA
"688","MCSP",352,2012,3049,0,3049,1700,179.4,3036,NA
"689","NKSP",361,2012,4621,2,4623,2694,171.6,4789,NA
"690","PBSP",378,2012,3173,0,3173,2380,133.3,3143,NA
"691","PVSP",386,2012,3816,0,3816,2308,165.3,3758,NA
"692","RJD",395,2012,3267,0,3267,2200,148.5,3560,NA
"693","SVSP",403,2012,3550,0,3550,2452,144.8,3459,NA
"694","SCC",420,2012,4316,0,4316,3736,115.5,4701,NA
"695","WSP",429,2012,4886,3,4889,2984,163.8,5135,NA
"696","MALE",446,2012,117745,211,117956,78790,149.7,119871,NA
